,price,Furnishing,Bathroom,Balcony,bhk,locality,City
102,"25,000",Semi-Furnished,2,1,2 BHK Apartment ," Newton Homes , Magarpatta ",Pune
103,"18,000",Unfurnished,2,2,2 BHK Apartment ," Forest Trails Highland, Bhugaon, Bavdhan ",Pune
104,"45,000",Furnished,2,2,2 BHK Apartment ," Amanora Aspire Towers, Hadapsar ",Pune
105,"45,000",Furnished,2,2,2 BHK Apartment ," Forest County, EON Free Zone, Kharadi ",Pune
106,"21,000",Unfurnished,3,2,3 BHK Apartment ," Gini Sanskruti, Hadapsar ",Pune
107,"75,000",Semi-Furnished,3,2,3 BHK Apartment ," Panchshil Towers, Kharadi ",Pune
108,"29,000",Semi-Furnished,2,2,2 BHK Apartment ," Oriana Crest, Wakad ",Pune
109,"30,000",Unfurnished,2,1,2 BHK Apartment ," Kumar Primrose, EON Free Zone, Kharadi ",Pune
110,"10,000",Unfurnished,2,2,2 BHK Apartment ," Laxmi green county, Kondhawe Dhawade ",Pune
111,"36,000",Unfurnished,3,3,3 BHK Apartment ," Godrej Infinity, Keshav Nagar Mundhwa ",Pune
112,"95,000",Unfurnished,3,3,3 BHK Apartment ," Emirus, Baner ",Pune
113,"47,000",Furnished,3,4,3 BHK Apartment ," Oravi Apartment, Patil Nagar Balewadi ",Pune
114,220000,Unfurnished,6,3,4 BHK Apartment ," Vascon Windermere, Koregaon Park ",Pune
115,"22,000",Semi-Furnished,2,2,2 BHK Apartment ," Gagan Adira, Wagholi ",Pune
116,"25,000",Semi-Furnished,2,2,2 BHK Apartment ," Pebbles II, Bavdhan ",Pune
117,280000,Furnished,5,2,4 BHK Apartment ," Esteban, Koregaon Park ",Pune
118,"50,000",Semi-Furnished,3,2,3 BHK Apartment ," Prabhat Vandan Apartments, Prabhat Road ",Pune
119,"26,000",Unfurnished,2,2,2 BHK Apartment ," Godrej Rejuve, Keshav Nagar Mundhwa ",Pune
120,"20,002",Semi-Furnished,2,1,2 BHK Apartment ," Kolte Patil Life Republic, Hinjawadi ",Pune
121,"30,000",Furnished,2,1,2 BHK Apartment , Viman Nagar ,Pune
122,"18,000",Unfurnished,2,2,2 BHK Apartment ," Kolte-Patil Life Republic Oro Avenue, Hinjawadi ",Pune
123,"40,000",Unfurnished,2,2,2 BHK Apartment ," Project Koregaon Park, Koregaon Park ",Pune
124,"22,000",Unfurnished,2,2,2 BHK Apartment ," Pride Purple Park Connect, Hinjawadi ",Pune
125,"55,000",Furnished,4,2,3 BHK Apartment ," Forest County, EON Free Zone, Kharadi ",Pune
126,200000,Furnished,4,3,4 BHK Apartment ," The Address, Boat Club Road ",Pune
127,"39,000",Unfurnished,3,3,3 BHK Apartment ," Avon Vista, Balewadi ",Pune
128,"18,000",Unfurnished,2,1,2 BHK Apartment , Ubale Nagar ,Pune
129,"75,000",Furnished,4,3,4 BHK Apartment ," Buena Vista, Pashan ",Pune
130,"35,000",Semi-Furnished,3,2,3 BHK Villa ," Daffodils Housing Society, Pimple Saudagar, Pimpri Chinchwad ",Pune
131,"16,000",Unfurnished,2,3,1 BHK Apartment , Sus ,Pune
132,"47,000",Furnished,2,1,2 BHK Apartment ," Camelot Royale, Viman Nagar ",Pune
133,"24,999",Semi-Furnished,2,1,2 BHK Apartment ," Supriya Sankul, Laxman Nagar Baner ",Pune
134,"38,000",Unfurnished,3,2,3 BHK Apartment ," Kumar Aatman, Baner Road ",Pune
135,"29,000",Semi-Furnished,2,1,2 BHK Apartment ," Amanora Gold Towers, Amanora Park Town ",Pune
136,"20,000",Unfurnished,1,1,1 BHK Apartment ," Disha Horizon, Viman Nagar ",Pune
137,"10,000",Unfurnished,1,1,1 BHK Apartment ," Pimple Gurav, Pimpri Chinchwad ",Pune
138,"80,000",Furnished,3,2,3 BHK Apartment ," Marvel Enigma, EON Free Zone, Kharadi ",Pune
139,"16,000",Semi-Furnished,1,1,1 BHK Apartment , Anand Nagar ,Pune
140,"25,000",Unfurnished,2,2,2 BHK Apartment ," GK Atlanta Phase 1, Wakad ",Pune
