price,Furnishing,Bathroom,Balcony,locality,bhk,city
24500,Furnished,1,2," DDA Sunveiw Apartments, Dwarka Sector 11 ",1 BHK Apartment  ,New Delhi
95000,Furnished,4,2, Dwarka Sector 17 ,4 BHK Builder Floor  ,New Delhi
11500,Unfurnished,1,1, Mahindra Park ,2 BHK Builder Floor  ,New Delhi
45000,Unfurnished,2,1," DDA Site 20, New Rajendra Nagar ",2 BHK Apartment  ,New Delhi
18000,Furnished,2,0, Rohini Sector 6 ,2 BHK Apartment  ,New Delhi
40000,Semi-Furnished,2,3," Dream Apartments, Dwarka Sector 22 ",3 BHK Apartment  ,New Delhi
120000,Furnished,3,3," Defence colony Villas, Defence Colony ",4 BHK Apartment  ,New Delhi
21000,Semi-Furnished,3,2, Rohini Sector 3 ,2 BHK  House  ,New Delhi
35000,Furnished,3,2, Chhattarpur Enclave Phase2 ,3 BHK Apartment  ,New Delhi
18000,Semi-Furnished,1,0, Paschim Vihar ,1 BHK Builder Floor  ,New Delhi
20000,Unfurnished,1,2," DDA MIG Flats, Rohini Sector 29 ",2 BHK Apartment  ,New Delhi
35000,Furnished,3,3," Supriya Apartments, Dwarka Sector 10 ",4 BHK Apartment  ,New Delhi
330000,Unfurnished,> 10,8, Jasola ,> 10 BHK Builder Floor  ,New Delhi
160000,Semi-Furnished,4,5," Parsvnath La Tropicana, Khyber Pass, Civil Lines ",4 BHK Apartment  ,New Delhi
5500,Unfurnished,1,1," RWA Munirka Village, Munirka ",1 BHK Apartment  ,New Delhi
80000,Furnished,3,0, Kasturba Nagar ,2 BHK Villa  ,New Delhi
33000,Semi-Furnished,2,2, Rajouri Garden ,2 BHK  House  ,New Delhi
6000,Furnished,3,1, Ashok Vihar Phase 3 ,3 BHK Apartment  ,New Delhi
40000,Furnished,2,2," MK Residency, Dwarka Sector 11 ",3 BHK Apartment  ,New Delhi
9000,Furnished,1,1, Patel Nagar West ,1 BHK  House  ,New Delhi
8500,Semi-Furnished,2,0," Vipin Garden, Nawada ",2 BHK Builder Floor  ,New Delhi
4500,Semi-Furnished,3,0, Rohini Sector 7 ,2 BHK  House  ,New Delhi
14000,Furnished,1,2, Dwarka Sector 13 ,1 BHK Builder Floor  ,New Delhi
15000,Unfurnished,1,1, Aya Nagar ,1 BHK Builder Floor  ,New Delhi
48000,Semi-Furnished,2,2," Munirka Enclave, Munirka Enclave, Munirka ",3 BHK Apartment  ,New Delhi
160000,Unfurnished,3,2, Hauz Khas ,3 BHK Builder Floor  ,New Delhi
12000,Semi-Furnished,1,2, Bamnoli ,1 BHK Apartment  ,New Delhi
50000,Unfurnished,3,2, Preet Vihar ,3 BHK  House  ,New Delhi
25000,Semi-Furnished,2,0," Private Builders Independent Floor, Khanpur, Madangir ",3 BHK Builder Floor  ,New Delhi
20000,Furnished,3,2, Madhu Vihar-Patparganj ,3 BHK Apartment  ,New Delhi
120000,Semi-Furnished,3,3," South Extension 2, South Ex 2 ",3 BHK Builder Floor  ,New Delhi
40000,Furnished,2,3," MK Apartments, Dwarka Sector 11 ",3 BHK Apartment  ,New Delhi
28000,Semi-Furnished,2,2, Chattarpur Enclave ,3 BHK Apartment  ,New Delhi
45000,Furnished,2,2," Ashoka Niketan, Anand Vihar ",3 BHK Builder Floor  ,New Delhi
75000,Unfurnished,2,2, Green Park Extension ,1 BHK Apartment  ,New Delhi
30000,Semi-Furnished,2,1, patpadganj ,3 BHK Apartment  ,New Delhi
8500,Unfurnished,1,1, Badarpur Village ,2 BHK  House  ,New Delhi
210000,Semi-Furnished,3,2, Defence Colony ,3 BHK Builder Floor  ,New Delhi
40000,Semi-Furnished,2,1," Rectangle 1, Saket ",2 BHK Apartment  ,New Delhi
120000,Semi-Furnished,3,3," Jangpura Extension, Jangpura ",3 BHK Apartment  ,New Delhi
95000,Semi-Furnished,3,3," Panchsheel Enclave, Panchsheel Park ",3 BHK Builder Floor  ,New Delhi
130000,Semi-Furnished,4,2," Green Park RWA, Green Park Extension ",4 BHK Builder Floor  ,New Delhi
229999,Unfurnished,3,3, Anand Niketan ,3 BHK Builder Floor  ,New Delhi
60000,Furnished,4,3, Naraina Vihar ,4 BHK Apartment  ,New Delhi
55000,Furnished,3,2, Kalkaji ,3 BHK Builder Floor  ,New Delhi
50000,Semi-Furnished,3,3," Triveni Apartments, Sheikh Sarai ",3 BHK Apartment  ,New Delhi
90000,Unfurnished,3,3, Lajpat Nagar 3 ,3 BHK Builder Floor  ,New Delhi
22000,Furnished,1,1, Malviya Nagar ,1 BHK Apartment  ,New Delhi
15000,Unfurnished,1,2," DDA Sunveiw Apartments, Dwarka Sector 11 ",1 BHK Apartment  ,New Delhi
30000,Semi-Furnished,2,2," Pharma Apartment, Indraprastha ",3 BHK Apartment  ,New Delhi
85000,Unfurnished,3,2," Nizamuddin East, Nizamuddin ",3 BHK Apartment  ,New Delhi
38000,Unfurnished,3,2," R D Apartment, Dwarka Sector 6 ",3 BHK Apartment  ,New Delhi
19000,Unfurnished,2,2, Mahavir Enclave Part 1 ,3 BHK Builder Floor  ,New Delhi
85000,Unfurnished,3,2, Sarvodaya Enclave ,3 BHK Builder Floor  ,New Delhi
