,price,Furnishing,Bathroom,Balcony,bhk,locality,City
85,250000,Unfurnished,4.0,3,4 BHK Apartment , Juhu ,Mumbai
86,"35,000",Unfurnished,2.0,0,1 BHK Apartment ," Piramal Revanta, Mulund West ",Mumbai
87,100000,Furnished,3.0,0,3 BHK Apartment ," Sindhi Society, Chembur ",Mumbai
88,"40,000",Unfurnished,1.0,0,1 BHK Apartment , Chembur East ,Mumbai
89,130000,Unfurnished,3.0,0,3 BHK Apartment , Hiranandani Gardens ,Mumbai
90,"75,000",Semi-Furnished,3.0,1,3 BHK Apartment ," Runwal Forests, Kanjurmarg West ",Mumbai
91,300000,Unfurnished,5.0,2,4 BHK Apartment ," Hiranandani Gardens Glen Ridge, Powai ",Mumbai
92,"78,000",Semi-Furnished,2.0,1,3 BHK Apartment ," Runwal Forests, Kanjurmarg West ",Mumbai
93,110000,Unfurnished,3.0,0,4 BHK Apartment ," Trishabh Signet, Chembur ",Mumbai
94,"37,000",Semi-Furnished,2.0,1,1 BHK Apartment ," Piramal Revanta, Mulund West ",Mumbai
95,"55,000",Semi-Furnished,2.0,0,1 BHK Apartment ," Hiranandani Regent Hill, Hiranandani Gardens ",Mumbai
96,"50,000",Unfurnished,2.0,0,2 BHK Apartment , Vikhroli West ,Mumbai
97,229999,Furnished,4.0,4,3 BHK Apartment ," L&T Crescent Bay, Parel ",Mumbai
98,120000,Furnished,3.0,1,3 BHK Apartment ," Hiranandani Gardens Glen Croft, Hiranandani Gardens ",Mumbai
99,"64,000",Unfurnished,3.0,2,3 BHK Apartment ," Veena Laya, Kandivali East ",Mumbai
100,"40,000",Unfurnished,2.0,0,2 BHK Apartment ," Sheth Vasant Utsav, Thakur Village, Kandivali East ",Mumbai
101,"27,000",Unfurnished,2.0,0,1 BHK Apartment ," Suprem Legacy Chs, Kandivali West ",Mumbai
102,"32,000",Furnished,2.0,0,1 BHK Apartment , Dev Nagar ,Mumbai
103,"36,000",Semi-Furnished,2.0,0,2 BHK Apartment ," Rustomjee Meridian, Charkop ",Mumbai
104,"90,000",Furnished,3.0,3,3 BHK Apartment ," Bajaj Emerald, Andheri East ",Mumbai
105,250000,Semi-Furnished,4.0,5,3 BHK Apartment , Juhu ,Mumbai
106,330000,Semi-Furnished,3.0,0,5 BHK Apartment ," Lodha The Park, Worli ",Mumbai
107,400000,Unfurnished,5.0,5,5 BHK Apartment ," Kalpataru Sparkle, Bandra East ",Mumbai
108,229999,Semi-Furnished,3.0,0,3 BHK Apartment ," Lodha The Park, Worli ",Mumbai
109,"22,000",Unfurnished,1.0,0,1 BHK Apartment ," Thakur Village, Kandivali East ",Mumbai
110,"85,000",Unfurnished,2.0,0,2 BHK Apartment ," Kanakia Silicon Valley, Powai ",Mumbai
111,330000,Semi-Furnished,3.0,0,3 BHK Apartment , Worli Sea Face ,Mumbai
112,"31,000",Unfurnished,2.0,0,1 BHK Apartment , Haridas Nagar ,Mumbai
113,"30,000",Unfurnished,2.0,0,1 BHK Apartment , Liberty Garden ,Mumbai
114,130000,Semi-Furnished,4.0,3,4 BHK Apartment ," diamond garden, Chembur ",Mumbai
115,150000,Unfurnished,3.0,0,3 BHK Apartment ," Runwal Elegante, Andheri West ",Mumbai
116,"19,000",Unfurnished,1.0,0,1 BHK Apartment , NL Complex ,Mumbai
117,"65,000",Semi-Furnished,2.0,1,2 BHK Apartment ," Raheja Vihar, Chandivali ",Mumbai
118,"60,000",Semi-Furnished,3.0,0,3 BHK Apartment , Mulund East ,Mumbai
119,"55,000",Unfurnished,3.0,0,3 BHK Apartment ," I C Colony, Borivali West ",Mumbai
120,"42,000",Unfurnished,2.0,0,2 BHK Apartment ," Sapphire Heights, Lokhandwala Twp ",Mumbai
121,"68,000",Semi-Furnished,2.0,1,2 BHK Apartment ," Shapoorji Pallonji Vicinia, Powai ",Mumbai
122,"65,000",Furnished,2.0,1,2 BHK Villa , Dr Charatsingh Colony ,Mumbai
123,"85,000",Furnished,2.0,1,2 BHK Apartment ," JP Decks Blue, Gokuldham ",Mumbai
124,150000,Furnished,3.0,0,3 BHK Apartment ," Kanakia Paris, Bandra Kurla Complex ",Mumbai
125,"35,000",Unfurnished,2.0,0,2 BHK Apartment , Mulund East ,Mumbai
126,330000,Furnished,5.0,5,4 BHK Apartment ," Oberoi Sky Gardens, Andheri West ",Mumbai
127,300000,Furnished,4.0,2,4 BHK Apartment ," Dosti Elite, Sion East ",Mumbai
128,"26,000",Semi-Furnished,1.0,0,1 BHK Apartment , Mulund West ,Mumbai
129,330000,Semi-Furnished,5.0,0,4 BHK Apartment ," Oberoi Esquire, Goregaon East ",Mumbai
130,120000,Semi-Furnished,3.0,1,3 BHK Apartment , Wadala West ,Mumbai
131,"62,500",Semi-Furnished,2.0,2,2 BHK Apartment ," Nahar Amrit Shakti, Chandivali ",Mumbai
132,190000,Semi-Furnished,3.0,1,3 BHK Apartment , Matunga East ,Mumbai
133,110000,Semi-Furnished,2.0,0,2 BHK Apartment ," Celestia Spaces, Sewri ",Mumbai
134,"75,000",Unfurnished,2.0,2,2 BHK Apartment ," RNA Continental, Chembur ",Mumbai
135,"73,000",Semi-Furnished,3.0,1,3 BHK Apartment ," Epsilon, Thakur Village, Kandivali East ",Mumbai
136,350000,Furnished,3.0,2,3 BHK Apartment ," Omkar 1973, Worli ",Mumbai
137,190000,Unfurnished,3.0,4,4 BHK Apartment , Goregaon West ,Mumbai
138,"75,000",Furnished,2.0,0,2 BHK Apartment ," Sagar Kanya, Andheri West ",Mumbai
139,"80,000",Unfurnished,3.0,1,3 BHK Apartment ," Alpine, Thakur Village, Kandivali East ",Mumbai
140,"30,000",Furnished,2.0,2,1 BHK Apartment , Mulund East ,Mumbai
141,150000,Semi-Furnished,2.0,0,2 BHK Apartment , Worli ,Mumbai
