,price,Furnishing,Bathroom,Balcony,bhk,locality,City
90,"65,000",Semi-Furnished,2,2,2 BHK Apartment ," Emaar Digi Homes, Sector 62 ",Gurgaon
91,"27,000",Semi-Furnished,2,2,2 BHK Apartment ," Shapoorji Pallonji Joyville, Sector 102 ",Gurgaon
92,"90,000",Furnished,3,3,3 BHKHouse ," DLF City Plot Phase 1, DLF City Phase 1 ",Gurgaon
93,"13,000",Unfurnished,2,2,2 BHK Apartment ," Signature The Serenas, Sohna Sector 36 ",Gurgaon
94,"80,000",Semi-Furnished,4,3,4 BHK Builder Floor , Sector 43 ,Gurgaon
95,"75,000",Semi-Furnished,3,3,3 BHK Apartment ," Emaar The Palm Drive, Badshahpur ",Gurgaon
96,130000,Furnished,4,3,3 BHK Apartment , Golf Course Road ,Gurgaon
97,280000,Furnished,5,4,4 BHK Builder Floor , DLF City Phase 1 ,Gurgaon
98,360000,Semi-Furnished,5,2,5 BHK Villa ," Emaar The Palm Springs, Golf Course Road ",Gurgaon
99,"33,000",Semi-Furnished,3,3,3 BHK Apartment ," Central Park Flower Valley, Sohna ",Gurgaon
100,160000,Semi-Furnished,3,2,3 BHK Apartment ," Silverglades Laburnum, Sushant Lok ",Gurgaon
101,"70,000",Furnished,2,2,2 BHK Villa ," Ansal Sushant Lok CI, Sector 43 ",Gurgaon
102,"75,000",Furnished,5,2,4 BHK Builder Floor , Sector 39 ,Gurgaon
103,120000,Semi-Furnished,5,2,4 BHK Apartment ," RWA DLF City Phase III, DLF City Phase 3 ",Gurgaon
104,"7,000",Semi-Furnished,1,0,1 BHKHouse , Sector 15 ,Gurgaon
105,"45,000",Furnished,1,1,1 BHK Builder Floor ," RWA Sector 57, Sector 57 ",Gurgaon
106,"45,000",Unfurnished,3,0,3 BHK Builder Floor ," Palam Vihar Pocket D, Palam Vihar ",Gurgaon
107,"60,000",Furnished,2,2,3 BHK Builder Floor ," Sushant Lok Builder Floors, Sushant Lok 1 Block C ",Gurgaon
108,"50,000",Semi-Furnished,3,3,4 BHK Builder Floor ," Emaar Emerald Hills, Sector 65 ",Gurgaon
109,"22,000",Unfurnished,2,2,2 BHK Apartment ," Mahindra Aura, Chandan Vihar, Sector 110A ",Gurgaon
110,"28,000",Unfurnished,3,3,3 BHK Apartment , Badha ,Gurgaon
111,"50,000",Semi-Furnished,3,2,3 BHK Apartment ," Emaar Emerald Estate, Sector 65 ",Gurgaon
112,"40,000",Semi-Furnished,2,4,3 BHK Apartment ," Tata  Gateway, Sector 112 ",Gurgaon
113,"36,000",Semi-Furnished,3,3,2 BHK Apartment ," M3M Marina, Sector 68 ",Gurgaon
114,160000,Semi-Furnished,4,3,3 BHK Apartment ," M3M Golf Estate, Sector 65 ",Gurgaon
115,"14,500",Semi-Furnished,1,2,1 BHK Builder Floor ," RWA Pocket E, Sector 21 ",Gurgaon
116,"50,000",Semi-Furnished,4,5,3 BHK Apartment ," DLF The Primus, Sector 82A ",Gurgaon
117,"32,000",Semi-Furnished,3,3,3 BHK Apartment ," BPTP Terra, Sector 37D, Delhi  Expressway ",Gurgaon
118,"31,500",Furnished,1,1,1 BHK Builder Floor , DLF City Phase 3 ,Gurgaon
119,130000,Semi-Furnished,6,4,4 BHK Apartment ," Vipul Belmonte, Sector 53 ",Gurgaon
120,"60,000",Semi-Furnished,3,3,4 BHK Builder Floor ," Emaar Mgf Emerald Floors , Sector 65 ",Gurgaon
121,"50,000",Unfurnished,4,4,5 BHK Penthouse ," Vatika Lifestyle Homes, Sector 83 ",Gurgaon
122,120000,Semi-Furnished,4,2,4 BHK Apartment ," Emaar The Palm Drive, Badshahpur ",Gurgaon
123,140000,Furnished,4,3,4 BHK Apartment ," DLF Icon, DLF City Phase 5 ",Gurgaon
124,130000,Semi-Furnished,4,4,3 BHK Apartment ," Mahindra Luminare, Sector 59  ",Gurgaon
125,"45,000",Furnished,2,2,2 BHK Builder Floor , Sector 43 ,Gurgaon
126,"95,000",Furnished,1,0,Studio Apartment ," Central Park The Room, Sector 48 ",Gurgaon
